This tab contains a table of tourism consumption by type of visitor and tourism-related product. It ranges from cell A1 to I106.,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,
"Table 4.2: Tourism consumption by type of visitor and tourism-related product, purchasers' prices(a)",,,,,,,,,
"Tourism Satellite Account, 2023-24",,,,,,,,,
,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,
Tourism connected products,,,,,,,,,
"Shopping, gifts and souvenirs","10,260","11,178","11,914","10,526","10,968","11,568","16,584","16,202",
"Food, alcohol and other beverage products","12,634","12,819","14,490","12,743","11,825","11,811","17,766","17,893",
"Motor vehicles, caravans, boats, etc.","1,929","1,930","1,866","1,685","2,158","2,378","2,823","3,210",
"Repair, maintenance and fuel for motor vehicles","11,009","12,319","14,888","12,690","10,949","13,291","20,528","19,549",
Education services,167,240,226,213,129,136,175,126,
Other tourism goods and services,"1,615","1,628","2,141","2,113","2,143","1,524","2,108","2,315",
Total consumption by domestic visitors,"97,892","106,305","120,643","100,222","88,312","99,640","157,461","160,154",
International visitors,,,,,,,,,
Tourism characteristic products,,,,,,,,,
Accommodation services,"3,235","3,293","3,283","2,342",88,384,"2,508","3,761",
Actual and imputed rent on vacation homes,"4,438","4,595","5,064","3,804",241,982,"3,755","5,950",
Takeaway and restaurant meals(c),"2,889","2,985","3,099","2,267",90,517,"2,278","3,338",
Taxi fares (including ride share),365,448,553,409,15,83,398,612,
Local area passenger transportation,493,504,519,391,16,93,339,537,
Long distance passenger transportation(d) ,"3,404","3,545","3,584","2,811",43,442,"2,557","3,307",
Motor vehicle (including caravans) hire and lease,616,615,655,455,9,70,574,719,
Travel agency and information centre services,"2,279","2,495","2,623","1,870",214,404,"1,556","2,308",
"Recreational, cultural and gambling services",996,"1,039","1,020",749,19,115,626,939,
Tourism connected products,,,,,,,,,
"Shopping, gifts and souvenirs","3,722","4,086","4,182","2,905",78,545,"2,594","3,714",
"Food, alcohol and other beverage products","4,227","4,395","4,564","3,301",119,722,"3,712","5,250",
"Motor vehicles, caravans, boats, etc.",587,592,413,294,14,95,480,863,
"Repair, maintenance and fuel for motor vehicles",670,681,715,508,18,110,582,742,
Education services,"4,284","5,462","6,677","5,826",11,"1,119","3,492","5,661",
Other tourism goods and services,719,709,738,563,24,149,503,625,
Total consumption by international visitors,"32,924","35,445","37,691","28,495",999,"5,831","25,955","38,329",
Total consumption by visitors,,,,,,,,,
Tourism characteristic products,,,,,,,,,
Accommodation services,"13,480","14,549","15,344","12,055","9,938","11,878","21,496","22,318",
Actual and imputed rent on vacation homes,"9,773","10,212","12,020","10,089","7,831","9,025","14,676","17,229",
Takeaway and restaurant meals(c),"18,090","19,981","22,486","17,967","16,371","18,122","28,595","30,754",
Taxi fares (including ride share),"1,507","1,704","1,864","1,658",563,821,"1,937","2,331",
Local area passenger transportation,"1,107","1,171","1,204",827,447,535,"1,194","1,350",
Long distance passenger transportation(d) ,"19,124","20,911","24,055","17,998","5,918","8,910","22,337","24,388",
Motor vehicle (including caravans) hire and lease,"1,869","1,999","2,114","1,807","1,220","1,681","2,803","3,139",
Travel agency and information centre services,"8,805","9,437","10,041","7,756","4,688","5,612","10,724","12,020",
"Recreational, cultural and gambling services","5,238","5,746","6,391","5,194","3,898","5,437","8,307","8,803",
Tourism connected products,,,,,,,,,
"Shopping, gifts and souvenirs","13,982","15,264","16,096","13,431","11,046","12,113","19,179","19,916",
"Food, alcohol and other beverage products","16,861","17,214","19,054","16,044","11,944","12,534","21,478","23,143",
"Motor vehicles, caravans, boats, etc.","2,517","2,523","2,280","1,979","2,172","2,473","3,302","4,073",
"Repair, maintenance and fuel for motor vehicles","11,679","13,000","15,602","13,198","10,967","13,401","21,110","20,291",
Education services,"4,451","5,702","6,904","6,039",141,"1,256","3,667","5,788",
Other tourism goods and services,"2,334","2,337","2,879","2,676","2,167","1,673","2,611","2,940",
Total consumption by visitors,"130,816","141,750","158,334","128,717","89,311","105,472","183,417","198,483",
- null cells,,,,,,,,,
(a) Totals may not add due to rounding.,,,,,,,,,
(b) Includes expenditure by outbound Australian residents within Australia before/after international trips.,,,,,,,,,
"(c) Includes all beverages bought and consumed in licensed restaurants, cafes, clubs, pubs, taverns and bars.",,,,,,,,,
(d) Includes expenditure on outbound and inbound air transport services provided by Australian international carriers.,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,
